#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        HEAT_VAP        
100000           -3.55416248e+05 -3.49079133e+05 -6.37962759e+03  4.25123904e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.61248411e+05  1.17729699e+01  4.33559955e+03  2.20779332e+01  1.11636988e+01
200000           -3.39710851e+05 -3.33376916e+05 -6.33814522e+03  4.21037048e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.66309561e+05  1.21719379e+01  4.32138650e+03  2.20066409e+01  1.12671286e+01
300000           -3.45594050e+05 -3.39216875e+05 -6.37753891e+03  3.63991600e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.28337608e+05  1.19266196e+01  4.33422184e+03  2.20778253e+01  1.11576049e+01
400000           -3.46373181e+05 -3.40125162e+05 -6.24802279e+03  4.16315277e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.29437160e+05  1.17767296e+01  4.28886384e+03  2.18580152e+01  1.11160470e+01
500000           -3.49078251e+05 -3.42834939e+05 -6.24331142e+03 -3.66033009e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.51353891e+05  1.16683917e+01  4.28730788e+03  2.18497009e+01  1.11070919e+01
600000           -3.50974563e+05 -3.44726749e+05 -6.24781383e+03 -3.66033014e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.86646086e+05  1.15081775e+01  4.28862918e+03  2.18586717e+01  1.10566830e+01
700000           -3.59745532e+05 -3.53416432e+05 -6.32909965e+03 -3.66033019e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.59229752e+05  1.17298248e+01  4.31629178e+03  2.20012192e+01  1.09987655e+01
800000           -3.53032609e+05 -3.46721565e+05 -6.31104439e+03 -3.66033024e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.85866497e+05  1.15850330e+01  4.30968853e+03  2.19719536e+01  1.09728614e+01
900000           -3.49723372e+05 -3.43511413e+05 -6.21195914e+03 -3.66033030e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.05984413e+05  1.18482808e+01  4.27523419e+03  2.18009269e+01  1.10541473e+01
1000000          -3.40348434e+05 -3.34263436e+05 -6.08499849e+03 -3.66033035e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.45026456e+05  1.15205137e+01  4.23051397e+03  2.15813624e+01  1.10395547e+01
1100000          -3.27980592e+05 -3.22026206e+05 -5.95438667e+03 -3.66033041e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.03182671e+05  1.15670045e+01  4.18405859e+03  2.13525438e+01  1.10963296e+01
1200000          -3.22547583e+05 -3.16587308e+05 -5.96027494e+03 -3.66033046e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.08356216e+05  1.15499905e+01  4.18598443e+03  2.13640458e+01  1.10816178e+01
1300000          -3.23863633e+05 -3.17902314e+05 -5.96131954e+03 -3.66033051e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.27420940e+05  1.14629607e+01  4.18571414e+03  2.13692611e+01  1.10047344e+01
1400000          -3.27110170e+05 -3.21178800e+05 -5.93137052e+03 -3.66033056e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.83256944e+05  1.16354468e+01  4.17528918e+03  2.13149419e+01  1.10663845e+01
1500000          -3.19388109e+05 -3.13488760e+05 -5.89934914e+03 -3.66033062e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.00724598e+05  1.15152723e+01  4.16418515e+03  2.12564100e+01  1.11219069e+01
1600000          -3.29820640e+05 -3.23875540e+05 -5.94509951e+03 -3.66033067e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.15251719e+05  1.14996920e+01  4.18072423e+03  2.13365017e+01  1.11123882e+01
1700000          -3.24923167e+05 -3.19002589e+05 -5.92057846e+03 -3.66033072e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.74734684e+05  1.16638577e+01  4.17104505e+03  2.12977549e+01  1.10495469e+01
1800000          -3.31980279e+05 -3.26007784e+05 -5.97249508e+03 -3.66033077e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.83313835e+05  1.16843054e+01  4.18926512e+03  2.13910045e+01  1.09990681e+01
1900000          -3.26598854e+05 -3.20586854e+05 -6.01200002e+03 -3.66033082e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.01844907e+05  1.16419112e+01  4.20368596e+03  2.14586562e+01  1.10169170e+01
2000000          -3.28937528e+05 -3.22913793e+05 -6.02373472e+03 -3.66033088e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.48024509e+05  1.14384524e+01  4.20772500e+03  2.14799999e+01  1.09655896e+01
2100000          -3.25426412e+05 -3.19523478e+05 -5.90293431e+03 -3.66033093e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.38317276e+05  1.18133439e+01  4.16521837e+03  2.12635169e+01  1.11133335e+01
2200000          -3.14011170e+05 -3.08234875e+05 -5.77629489e+03 -3.66033098e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.53201764e+05  1.15962679e+01  4.11928812e+03  2.10398759e+01  1.11152650e+01
